test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,51.18,11.81,39.50
CPUStress,32,10,68.71,11.89,39.40
CPUStress,32,20,79.06,11.93,39.50
CPUStress,32,30,89.40,12.05,40.80
CPUStress,32,40,97.99,12.02,42.60
CPUStress,32,50,104.92,12.07,44.30
CPUStress,32,60,113.01,12.24,47.40
CPUStress,32,70,116.94,12.27,48.70
CPUStress,32,80,121.18,12.26,49.40
CPUStress,32,90,125.56,12.37,51.50
CPUStress,32,100,126.48,12.13,52.00
ipsec,32,100,135.73,11.82,52.80
VMStress,32,100,114.13,33.91,50.30
maximize,32,100,125.69,19.56,52.10
