test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,51.97,11.87,42.10
CPUStress,32,10,67.69,12.18,40.80
CPUStress,32,20,80.23,12.32,40.90
CPUStress,32,30,90.31,12.40,40.80
CPUStress,32,40,96.55,12.24,43.10
CPUStress,32,50,105.84,12.49,45.00
CPUStress,32,60,111.12,12.28,46.70
CPUStress,32,70,116.62,12.39,49.10
CPUStress,32,80,121.31,12.40,49.50
CPUStress,32,90,122.89,12.13,50.50
CPUStress,32,100,125.91,12.22,51.50
ipsec,32,100,136.67,12.16,52.00
VMStress,32,100,116.12,34.45,50.60
maximize,32,100,125.01,19.25,52.10
