test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,55.44,12.32,43.60
CPUStress,32,10,69.86,12.25,42.40
CPUStress,32,20,80.68,12.14,40.90
CPUStress,32,30,89.77,12.25,40.90
CPUStress,32,40,97.55,12.30,41.90
CPUStress,32,50,106.63,12.47,46.20
CPUStress,32,60,111.15,12.29,47.30
CPUStress,32,70,116.20,12.37,48.60
CPUStress,32,80,119.84,12.26,49.60
CPUStress,32,90,126.09,12.45,50.80
CPUStress,32,100,126.68,12.21,51.80
ipsec,32,100,136.71,11.70,53.30
VMStress,32,100,115.71,34.62,51.00
maximize,32,100,125.01,18.94,53.00
