test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,51.63,12.06,43.50
CPUStress,32,10,68.18,12.24,42.20
CPUStress,32,20,80.33,12.36,41.00
CPUStress,32,30,89.45,12.34,42.10
CPUStress,32,40,98.36,12.40,44.00
CPUStress,32,50,103.93,12.28,45.90
CPUStress,32,60,111.02,12.24,48.40
CPUStress,32,70,116.62,12.36,50.20
CPUStress,32,80,121.44,12.34,50.70
CPUStress,32,90,124.63,12.28,51.50
CPUStress,32,100,123.94,11.97,52.10
ipsec,32,100,136.92,12.13,53.30
VMStress,32,100,115.85,34.64,50.30
maximize,32,100,121.90,18.71,52.80
