test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,55.00,11.89,44.00
CPUStress,32,10,69.76,11.87,42.30
CPUStress,32,20,79.83,11.92,42.20
CPUStress,32,30,88.82,11.80,44.00
CPUStress,32,40,98.60,12.16,42.60
CPUStress,32,50,104.67,12.15,45.50
CPUStress,32,60,112.53,12.24,47.10
CPUStress,32,70,115.63,12.25,49.40
CPUStress,32,80,121.08,12.26,50.80
CPUStress,32,90,125.99,12.40,51.70
CPUStress,32,100,123.89,11.88,51.90
ipsec,32,100,135.60,11.79,53.10
VMStress,32,100,116.47,34.26,51.00
maximize,32,100,124.86,18.40,53.10
