test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,51.19,11.98,31.40
CPUStress,32,10,66.97,12.01,33.00
CPUStress,32,20,78.75,12.10,35.50
CPUStress,32,30,89.33,12.24,36.00
CPUStress,32,40,98.94,12.37,39.10
CPUStress,32,50,105.89,12.43,41.10
CPUStress,32,60,115.55,12.80,43.30
CPUStress,32,70,116.63,12.33,46.20
CPUStress,32,80,119.99,12.24,48.30
CPUStress,32,90,125.38,12.40,50.00
CPUStress,32,100,126.63,12.25,51.20
ipsec,32,100,135.85,11.89,51.80
VMStress,32,100,116.70,34.22,49.10
maximize,32,100,125.38,19.61,51.90
