test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,51.30,12.12,40.30
CPUStress,32,10,60.30,12.23,39.90
CPUStress,32,20,69.14,12.29,39.70
CPUStress,32,30,77.06,12.34,39.60
CPUStress,32,40,84.58,12.43,40.10
CPUStress,32,50,89.72,12.35,41.90
CPUStress,32,60,94.02,12.26,43.20
CPUStress,32,70,99.94,12.45,45.90
CPUStress,32,80,102.85,12.43,46.50
CPUStress,32,90,104.31,12.16,47.90
CPUStress,32,100,106.05,12.12,49.10
ipsec,32,100,114.64,12.00,50.00
VMStress,32,100,99.48,34.12,47.90
maximize,32,100,104.68,18.18,50.20
