test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,54.54,12.30,33.90
CPUStress,32,10,70.18,12.43,35.50
CPUStress,32,20,79.87,12.28,35.80
CPUStress,32,30,89.47,12.44,38.10
CPUStress,32,40,97.66,12.35,40.60
CPUStress,32,50,105.83,12.48,42.30
CPUStress,32,60,111.60,12.40,45.00
CPUStress,32,70,117.25,12.48,47.00
CPUStress,32,80,123.23,12.63,48.90
CPUStress,32,90,125.32,12.39,50.20
CPUStress,32,100,126.73,12.30,51.30
ipsec,32,100,137.48,12.21,52.00
VMStress,32,100,115.71,34.64,50.40
maximize,32,100,125.30,20.18,52.20
