test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.90,14.55,29.30
CPUStress,32,10,63.55,14.50,31.90
CPUStress,32,20,76.91,14.62,34.60
CPUStress,32,30,86.18,14.52,37.40
CPUStress,32,40,96.04,14.80,39.60
CPUStress,32,50,103.92,14.84,41.90
CPUStress,32,60,111.80,14.90,44.20
CPUStress,32,70,118.72,15.08,46.70
CPUStress,32,80,120.66,14.82,48.30
CPUStress,32,90,123.20,14.62,49.70
CPUStress,32,100,125.61,14.67,50.30
ipsec,32,100,136.52,14.55,51.40
VMStress,32,100,115.15,36.54,47.90
maximize,32,100,125.12,21.17,50.90
