test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,48.44,14.55,40.80
CPUStress,32,10,64.37,14.63,38.00
CPUStress,32,20,77.81,14.69,38.20
CPUStress,32,30,88.40,14.78,40.00
CPUStress,32,40,96.32,14.71,42.00
CPUStress,32,50,104.87,14.83,43.50
CPUStress,32,60,110.63,14.78,45.60
CPUStress,32,70,116.77,14.87,47.30
CPUStress,32,80,121.36,14.95,48.70
CPUStress,32,90,123.43,14.74,50.20
CPUStress,32,100,125.70,14.82,51.10
ipsec,32,100,137.25,14.57,52.10
VMStress,32,100,115.63,37.07,48.70
maximize,32,100,124.82,21.88,51.00
