test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,49.80,14.64,40.50
CPUStress,32,10,66.53,14.62,38.00
CPUStress,32,20,78.35,14.72,39.40
CPUStress,32,30,87.07,14.68,39.60
CPUStress,32,40,96.02,14.69,41.80
CPUStress,32,50,103.20,14.78,43.30
CPUStress,32,60,109.27,14.71,46.10
CPUStress,32,70,114.83,14.75,47.70
CPUStress,32,80,119.60,14.83,49.20
CPUStress,32,90,123.51,14.73,50.50
CPUStress,32,100,125.71,14.77,51.20
ipsec,32,100,137.21,14.46,52.40
VMStress,32,100,115.05,37.52,48.90
maximize,32,100,125.05,20.74,51.60
