test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.94,14.54,30.90
CPUStress,32,10,57.53,14.65,31.40
CPUStress,32,20,66.64,14.72,33.10
CPUStress,32,30,75.21,14.65,34.80
CPUStress,32,40,81.71,14.78,36.70
CPUStress,32,50,88.38,14.83,39.40
CPUStress,32,60,93.55,14.89,40.40
CPUStress,32,70,96.96,14.68,41.80
CPUStress,32,80,101.91,14.93,43.00
CPUStress,32,90,103.09,14.61,45.00
CPUStress,32,100,104.76,14.65,45.80
ipsec,32,100,113.77,14.54,47.00
VMStress,32,100,98.15,37.31,43.80
maximize,32,100,105.00,20.10,47.00
