test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,48.26,14.57,38.70
CPUStress,32,10,57.67,14.62,36.10
CPUStress,32,20,66.55,14.68,35.80
CPUStress,32,30,74.56,14.69,37.10
CPUStress,32,40,81.75,14.71,38.70
CPUStress,32,50,87.40,14.78,40.00
CPUStress,32,60,92.23,14.73,41.00
CPUStress,32,70,98.20,14.95,42.60
CPUStress,32,80,101.41,14.94,44.30
CPUStress,32,90,104.18,14.82,45.00
CPUStress,32,100,104.72,14.69,46.10
ipsec,32,100,113.83,14.55,47.00
VMStress,32,100,98.15,37.70,43.80
maximize,32,100,104.92,19.90,47.30
