timestamp,energy_1,energy_2
1769722068005,39975663323,59331042752
1769722069005,40001588603,59356787988
1769722070005,40027435929,59382557666
1769722071006,40053340245,59408735878
1769722072006,40079967804,59434731589
1769722073005,40106215730,59460873608
1769722074006,40132685796,59488830552
1769722075006,40158599190,59515283987
1769722076006,40184507473,59541741756
1769722077006,40211003844,59573156727
1769722078005,40236855382,59600054017
1769722079006,40262720560,59625822491
1769722080005,40290223548,59652064130
1769722081005,40319544465,59678626767
1769722082005,40345307918,59704591275
1769722083006,40371132984,59730923684
1769722084005,40398589083,59758159321
1769722085006,40424479590,59784509139
1769722086005,40450198719,59810752731
1769722087006,40476657556,59836813212
1769722088005,40502292857,59862883885
1769722089006,40527893004,59888821616
1769722090006,40553809190,59914940901
1769722091005,40579567960,59941207822
1769722092005,40605624977,59967707474
1769722093005,40631573067,59993800089
1769722094005,40659235669,60020160710
1769722095005,40685301322,60046430988
1769722096005,40711196971,60072564738
1769722097006,40737578038,60098994035
1769722098005,40763099530,60124991607
1769722099005,40788638492,60150995435
1769722100005,40813991200,60176677304
1769722101005,40839413653,60202630887
1769722102005,40864401862,60227816856
1769722103005,40889581194,60253252949
1769722104005,40916050635,60281599399
1769722105005,40941568709,60308003902
1769722106005,40967259000,60334475677
1769722107005,40993731035,60360972797
1769722108005,41019364933,60387095835
1769722109005,41045286612,60412522606
1769722110005,41071246207,60439596614
1769722111005,41100590881,60474919037
1769722112005,41133317139,60505219228
1769722113005,41162446050,60533331727
1769722114005,41192344726,60560667166
1769722115005,41222188230,60586775054
1769722116005,41251358490,60612700257
1769722117006,41280740851,60639125557
1769722118005,41309349891,60664852238
1769722119006,41341969023,60693360469
1769722120005,41376070058,60721729500
1769722121005,41409759157,60747589232
1769722122007,41445111348,60782055268
1769722123006,41479975848,60816070706
1769722124005,41517666892,60846558875
1769722125005,41552560412,60879440964
1769722126005,41587536936,60911864763
1769722127007,41622044551,60944453257
1769722128005,41657180230,60976500230
1769722129005,41690396134,61007078681
1769722130005,41725869473,61039750423
1769722131006,41760282626,61071813324
1769722132005,41795230434,61103751401
1769722133005,41821787578,61130051249
1769722134005,41852187358,61159226040
1769722135007,41881644361,61187919869
1769722136005,41913715075,61217994791
1769722137006,41946878506,61248517199
1769722138005,41978398680,61275890905
1769722139005,42010209917,61301407103
1769722140005,42040105999,61327066421
1769722141006,42069545960,61352536142
1769722142005,42101285270,61380071767
1769722143006,42132158749,61409091598
1769722144005,42160466795,61438609755
1769722145005,42189802756,61466394191
1769722146005,42218716422,61494634552
1769722147005,42246854707,61521784241
1769722148005,42275322092,61549919596
1769722149005,42302911210,61577260879
1769722150005,42331590849,61608903210
1769722151006,42359149788,61641638119
1769722152006,42390535570,61676534539
1769722153006,42418769950,61710642119
1769722154006,42447645593,61743600269
1769722155006,42476219707,61776099260
1769722156005,42507467984,61810121945
1769722157005,42538250847,61844756354
1769722158005,42568708714,61877880678
1769722159005,42604550396,61911137671
1769722160005,42639650220,61944847781
1769722161005,42675798070,61977425152
1769722162005,42712771301,62011142799
1769722163006,42750386849,62045418111
1769722164006,42785238318,62074800152
1769722165005,42815131395,62102958608
1769722166005,42852714656,62135726932
1769722167005,42886724128,62162132656
1769722168005,42920573009,62189068244
1769722169005,42954298056,62219483450
1769722170005,42989055231,62247562183
1769722171005,43030866973,62277213024
1769722172005,43061362802,62303544471
1769722173005,43090737473,62338096029
1769722174005,43120052546,62367116455
1769722175005,43147231469,62392619867
1769722176005,43172626335,62418169861
1769722177005,43198462172,62443683342
1769722178005,43223532973,62469131184
1769722179005,43248385326,62494297149
1769722180005,43273679596,62524527459
1769722181005,43298594796,62549879740
1769722182005,43323713309,62575231257
1769722183005,43348972714,62600616068
1769722184005,43374748572,62627946900
1769722185005,43399643312,62653034576
1769722186005,43424713808,62678386125
1769722187005,43450542382,62703814650
1769722188005,43475334084,62728994912
1769722189005,43501135179,62754302197
1769722193738,43527127976,62875459475
1769722194005,43641266757,62882205113
1769722195005,43675337718,62907384918
1769722196005,43709939215,62933073912
1769722197005,43744298324,62958743193
1769722198005,43778255141,62984062150
1769722199005,43812803693,63009608574
1769722200005,43847052806,63039843308
1769722201005,43876941703,63073943504
1769722202005,43904507553,63108000947
1769722203006,43931759852,63142072640
1769722204006,43959423414,63177127331
1769722205005,43986313168,63211012862
1769722206005,44013110869,63237228501
1769722207005,44039711499,63262716090
1769722208005,44066138919,63293739297
1769722209006,44092910072,63327798692
1769722210005,44119302582,63360348920
1769722211006,44145320173,63385429425
1769722212005,44171251327,63413859855
1769722213006,44197908792,63447841084
1769722214005,44226698167,63483995403
1769722215005,44253233049,63518759215
1769722216006,44280236032,63552940537
1769722217006,44307809771,63587088476
1769722218006,44334392030,63621077074
1769722219006,44361258362,63655188805
1769722220006,44388008123,63689172369
1769722221005,44414639436,63723110387
1769722222005,44441402868,63757224849
1769722223005,44469222932,63789191656
1769722224005,44496236519,63817297945
1769722225005,44522518043,63851390771
1769722226005,44548964597,63885702137
1769722227006,44575862315,63920062833
1769722228005,44602856677,63954129629
1769722229005,44629577768,63988364339
1769722230005,44657658652,64022450009
1769722231005,44687192266,64056595689
1769722232006,44713395714,64090693337
1769722233006,44739919459,64124673101
1769722234005,44768290565,64161531577
1769722235005,44794684952,64198113380
1769722236005,44820968475,64232394261
1769722237005,44847408437,64266410019
1769722238006,44874265996,64300441645
1769722239006,44900299913,64334602339
1769722240005,44926563676,64369183650
1769722241005,44952957605,64404484253
1769722242006,44979157285,64438538477
1769722243005,45005937562,64472704923
1769722244005,45033225045,64507747132
1769722245005,45059370422,64541787944
1769722246005,45085823628,64575930221
1769722247005,45112593149,64610121919
1769722248006,45139014710,64644191736
1769722249005,45165234225,64678255359
1769722250005,45190548758,64712318416
1769722251005,45215886543,64746350485
1769722252005,45241401154,64780386353
1769722253005,45267319385,64814424357
1769722254005,45293777901,64849426606
1769722255005,45319652372,64883494302
1769722256005,45345042599,64917782797
1769722257006,45371587308,64951960656
1769722258006,45397262051,64985982670
1769722259005,45422703698,65020143409
1769722260005,45449826960,65056508319
1769722261006,45478657287,65082454472
1769722262006,45503673952,65110248994
1769722263006,45529518624,65144355751
1769722264005,45556852324,65178969516
1769722265006,45582118413,65213085229
1769722266005,45607482137,65242467773
1769722267006,45633928355,65271166576
1769722268006,45660237511,65305266466
1769722269006,45686480508,65339446263
1769722270006,45712111263,65373395176
1769722271006,45738319487,65404995943
1769722272006,45764080179,65439137854
1769722273005,45789993954,65473255185
1769722274005,45817032930,65508259646
1769722275006,45843329437,9739715
1769722276006,45869155143,44041484
1769722277006,45895455205,78110264
1769722278005,45921450824,112138045
1769722279005,45947238813,146307283
1769722280006,45972726997,180310652
1769722281005,45998596875,214299601
1769722282006,46025002858,248391115
1769722283005,46051921570,282477487
1769722284005,46080701927,317031883
1769722285006,46106773836,351094453
1769722286005,46132764039,385324692
1769722287006,46159616212,419455114
1769722288005,46185904769,453482621
1769722289006,46213022660,487599219
1769722290005,46241165919,521816382
1769722291006,46270304961,555901808
1769722292005,46296324916,589957115
1769722293005,46322659736,624112469
1769722294005,46350992362,658662440
1769722295005,46377087830,693663193
1769722296006,46403216560,731251947
1769722297005,46429573427,765891880
1769722298005,46455826906,793384492
1769722299005,46482078143,819567266
1769722300005,46508308872,846201005
1769722301005,46538828702,874452275
1769722302006,46565191597,899963956
1769722303005,46598467510,926204817
1769722304005,46635435858,952979113
1769722305005,46669161882,981361022
1769722306005,46704814488,1012817693
1769722307006,46739119599,1040457301
