test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.99,10.37,38.80
CPUStress,32,10,61.74,10.50,37.60
CPUStress,32,20,72.52,10.58,38.10
CPUStress,32,30,82.52,10.72,39.60
CPUStress,32,40,90.72,10.80,40.40
CPUStress,32,50,95.39,10.83,42.70
CPUStress,32,60,101.68,10.81,43.20
CPUStress,32,70,108.06,11.20,44.40
CPUStress,32,80,109.73,11.06,45.40
CPUStress,32,90,113.46,11.01,47.10
CPUStress,32,100,115.81,11.06,47.90
ipsec,32,100,125.23,10.52,49.20
VMStress,32,100,107.07,31.34,47.10
maximize,32,100,114.85,17.26,49.30
