test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,47.64,10.38,29.90
CPUStress,32,10,61.31,10.54,30.90
CPUStress,32,20,73.03,10.57,33.80
CPUStress,32,30,81.55,10.59,35.30
CPUStress,32,40,89.59,10.73,36.10
CPUStress,32,50,95.97,10.73,38.50
CPUStress,32,60,101.57,10.85,40.20
CPUStress,32,70,106.08,10.82,42.40
CPUStress,32,80,109.81,10.85,44.50
CPUStress,32,90,114.60,11.03,45.50
CPUStress,32,100,115.75,10.94,46.70
ipsec,32,100,125.31,10.41,48.70
VMStress,32,100,107.34,31.54,45.90
maximize,32,100,116.52,17.77,48.50
