timestamp,energy
1780319709015,227690580990
1780319710076,227741245044
1780319711015,227797452603
1780319712012,227866495395
1780319713012,227963838591
1780319714012,228064047441
1780319715012,228164314640
1780319716012,228264514030
1780319717012,228364784769
1780319718011,228465275723
1780319719012,228565807204
1780319720012,228665991884
1780319721012,228766221546
1780319722012,228866125099
1780319723010,228966987146
1780319724011,229068226083
1780319725011,229167540526
1780319726011,229267018238
1780319727011,229367474585
1780319728012,229467286829
1780319729012,229567695386
1780319730013,229668012573
1780319731011,229768493151
1780319732012,229868952122
1780319733013,229966951871
1780319734012,230066816911
1780319735010,230166977421
1780319736012,230265994929
1780319737011,230365952192
1780319738013,230466177644
1780319739011,230565879171
1780319740011,230664021742
1780319741012,230763242008
1780319742013,230863383109
1780319743009,230962840069
1780319744011,231062770965
1780319745011,231162688373
1780319746013,231262187630
1780319747013,231361866879
1780319748009,231461461229
1780319749012,231561198095
1780319750012,231661164636
1780319751012,231761374340
1780319752011,231860845643
1780319753012,231960817311
1780319754010,232060726357
1780319755073,232165603835
1780319756011,232258883992
1780319757011,232358628854
1780319758010,232458159300
1780319759011,232558266954
1780319760012,232658069188
1780319761012,232757631372
1780319762011,232857612623
1780319763012,232957329714
1780319764013,233057447011
1780319765013,233157206704
1780319766012,233256540801
1780319767011,233356966447
1780319768012,233457117314
1780319769013,233556941399
1780319770073,233661845549
1780319771012,233754862584
1780319772013,233854488245
1780319773012,233952152545
1780319774013,234051113779
1780319775013,234151336301
1780319776012,234251302170
1780319777013,234351700717
1780319778012,234451776022
1780319779013,234551965463
1780319780012,234652486141
1780319781013,234752866987
1780319782012,234853351288
1780319783012,234954126421
1780319784013,235054295232
1780319785015,235153711603
1780319786012,235253789838
1780319787012,235354247100
1780319788009,235454399188
1780319789011,235555183903
1780319790013,235655093193
1780319791010,235755486979
1780319792013,235855498747
1780319793012,235955045306
1780319794012,236055131048
1780319795013,236155040094
1780319796010,236254926679
1780319797011,236354624422
1780319798012,236454915242
1780319799012,236555568793
1780319800013,236654638059
1780319801012,236754394090
1780319802012,236854910312
1780319803012,236955769551
1780319804013,237056655401
1780319805012,237156634515
1780319806013,237257239360
1780319807012,237357633329
1780319808012,237457413835
1780319809010,237557456121
1780319810012,237658048271
1780319811013,237757434796
1780319812013,237857039888
1780319813012,237956419638
1780319814013,238056497507
1780319815012,238155691772
1780319816012,238254646109
1780319817010,238354981118
1780319818010,238455245387
1780319819013,238555420912
1780319820012,238655264407
1780319821012,238754927482
1780319822012,238854835063
1780319823012,238954438751
1780319824011,239054552081
1780319825013,239155313114
1780319826011,239255285209
1780319827011,239356149575
1780319828015,239457263635
1780319829012,239557503186
1780319830074,239662266284
1780319831012,239755257135
1780319832011,239855219404
1780319833011,239956070525
1780319834012,240057440444
1780319835013,240158303528
1780319836013,240258169483
1780319837012,240358722570
1780319838013,240458740320
1780319839013,240559074596
1780319840011,240659253295
1780319841012,240759702135
1780319842012,240859235327
1780319843013,240959755577
1780319844012,241060165843
1780319845013,241160035826
1780319846012,241259591724
1780319847011,241360598912
1780319848012,241461202719
1780319849012,241561795540
1780319850012,241662334956
1780319851012,241762605695
1780319852013,241862764191
1780319853013,241962901142
1780319854012,242063691838
1780319855012,242163939568
1780319856011,242263130232
1780319857011,242363615997
1780319858012,242463993426
1780319859013,242564519780
1780319860013,242663066280
1780319861013,242763062057
1780319862012,242863241977
1780319863012,242963294089
1780319864013,243063841805
1780319865013,243164134639
1780319866012,243263471787
1780319867012,243364077730
1780319868012,243464710041
1780319869010,243564966498
1780319870010,243665328424
1780319871013,243766153850
1780319872012,243866209441
1780319873012,243966313188
1780319874011,244066575627
1780319875012,244166822441
1780319876012,244266662578
1780319877013,244366891264
1780319878012,244467054155
1780319879010,244567316838
1780319880012,244667792777
1780319881012,244768396401
1780319882013,244868559231
1780319883013,244968802382
1780319884012,245068974855
1780319885011,245169648120
1780319886012,245269461464
1780319887012,245368903531
1780319888012,245469327895
1780319889012,245569642031
1780319890074,245674580483
1780319891013,245768232953
1780319892012,245868389496
1780319893013,245968709368
1780319894013,246069571415
1780319895012,246169859671
1780319896011,246269850626
1780319897012,246370721462
1780319898012,246471469373
1780319899012,246572719724
1780319900012,246672987473
1780319901012,246773026157
1780319902013,246873606405
1780319903012,246973656259
1780319904010,247073493771
1780319905012,247172397022
1780319906012,247271026896
1780319907012,247371205351
1780319908011,247471827163
1780319909010,247571453068
1780319910012,247671817679
1780319911012,247772202981
1780319912012,247872321194
1780319913012,247972018693
1780319914012,248072017033
1780319915013,248172768118
1780319916012,248272698831
1780319917013,248372743253
1780319918012,248473211990
1780319919012,248573681887
1780319920011,248672798759
1780319921012,248771783674
1780319922012,248872497528
1780319923012,248972245808
1780319924011,249072254585
1780319925012,249172224788
1780319926012,249272243575
1780319927012,249372432771
1780319928010,249471663597
1780319929011,249572128671
1780319930011,249672757808
1780319931011,249773348249
