,Id,Start timestamp,End timestamp,Cpu_count,Avg_cpu_usage,Memory,Hostname,duration,cpu_model
0,ichnos_cpu_high_mem_high_w01_t01,1779901360000,1779901968373,4.000747,376.32093,2175213568,hu-worker-c45,608373,Intel Xeon Silver 4314
1,ichnos_cpu_high_mem_high_w01_t02,1779901360000,1779901968373,4.000836,381.029384,2175238144,hu-worker-c44,608373,Intel Xeon Silver 4314
2,ichnos_cpu_high_mem_high_w01_t03,1779901360000,1779901967007,4.000044,384.307561,2175213568,hu-worker-c42,607007,Intel Xeon Silver 4314
3,ichnos_cpu_high_mem_high_w01_t04,1779901360000,1779901966100,4.000795,388.759363,2175262720,hu-worker-c40,606100,Intel Xeon Silver 4314
4,ichnos_cpu_high_mem_high_w02_t01,1779901969000,1779902575710,4.000514,366.182332,2175303680,hu-worker-c44,606710,Intel Xeon Silver 4314
5,ichnos_cpu_high_mem_high_w02_t02,1779901969000,1779902577065,4.001253,386.2362,2175225856,hu-worker-c45,608065,Intel Xeon Silver 4314
6,ichnos_cpu_high_mem_high_w02_t03,1779901969000,1779902575711,3.999897,376.030023,2175287296,hu-worker-c40,606711,Intel Xeon Silver 4314
7,ichnos_cpu_high_mem_high_w02_t04,1779901969000,1779902577066,4.00007,370.685387,2175197184,hu-worker-c42,608066,Intel Xeon Silver 4314
8,ichnos_cpu_high_mem_high_w03_t01,1779902578000,1779903183705,3.999768,380.993762,2175258624,hu-worker-c40,605705,Intel Xeon Silver 4314
9,ichnos_cpu_high_mem_high_w03_t02,1779902578000,1779903185061,3.998731,382.577005,2175332352,hu-worker-c42,607061,Intel Xeon Silver 4314
10,ichnos_cpu_high_mem_high_w03_t03,1779902578000,1779903183706,3.998981,383.412884,2175209472,hu-worker-c45,605706,Intel Xeon Silver 4314
11,ichnos_cpu_high_mem_high_w03_t04,1779902578000,1779903183707,4.000421,361.030083,2175348736,hu-worker-c44,605707,Intel Xeon Silver 4314
12,ichnos_cpu_high_mem_high_w04_t01,1779903186000,1779903791587,4.000003,393.761373,2175242240,hu-worker-c40,605587,Intel Xeon Silver 4314
13,ichnos_cpu_high_mem_high_w04_t02,1779903186000,1779903791589,4.000331,386.330202,2175213568,hu-worker-c44,605589,Intel Xeon Silver 4314
14,ichnos_cpu_high_mem_high_w04_t03,1779903186000,1779903791589,4.000489,380.470698,2175090688,hu-worker-c42,605589,Intel Xeon Silver 4314
15,ichnos_cpu_high_mem_high_w04_t04,1779903186000,1779903791590,4.000302,389.015866,2175242240,hu-worker-c45,605590,Intel Xeon Silver 4314
