task_id	status	name	energy_consumption	CO2e	CO2e_market	carbon_intensity	%cpu	memory	realtime	cpus	powerdraw_cpu	cpu_model	raw_energy_processor	raw_energy_memory
3	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv)	0 Wh	0 g	-	163.92 gCO₂e/kWh	24.5 %	6 GB	0ms	1	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	0 Wh	0 Wh
2	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf)	102.42 mWh	16.79 mg	-	163.92 gCO₂e/kWh	17.8 %	12 GB	1min 3s 1000ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	18.79 mWh	83.63 mWh
4	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP1_T1)	1.28 Wh	210.04 mg	-	163.92 gCO₂e/kWh	29.3 %	36 GB	4min 50s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	140.62 mWh	1.14 Wh
6	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP2_T1)	1.42 Wh	233.29 mg	-	163.92 gCO₂e/kWh	43.4 %	36 GB	5min 7s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	219.75 mWh	1.2 Wh
1	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	39.49 mWh	6.47 mg	-	163.92 gCO₂e/kWh	64.5 %	6 GB	23s 0ms	1	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	24.47 mWh	15.03 mWh
16	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT	351.67 uWh	57.65 ug	-	163.92 gCO₂e/kWh	67 %	6 GB	200ms	1	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	221.01 uWh	130.67 uWh
5	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP1_T1)	4.19 Wh	686.96 mg	-	163.92 gCO₂e/kWh	255.4 %	60 GB	6min 29s 1000ms	12	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	1.64 Wh	2.55 Wh
8	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_OMNI_REP1_T1)	2.83 Wh	463.74 mg	-	163.92 gCO₂e/kWh	90.3 %	36 GB	8min 43s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	778.92 mWh	2.05 Wh
7	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1)	5.51 Wh	903.4 mg	-	163.92 gCO₂e/kWh	435.1 %	60 GB	6min 42s 0ms	12	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	2.88 Wh	2.63 Wh
11	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_OMNI_REP2_T1)	1.5 Wh	246.02 mg	-	163.92 gCO₂e/kWh	170.4 %	36 GB	3min 42s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	626.72 mWh	874.16 mWh
13	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_STD_REP1_T1)	1.56 Wh	255.62 mg	-	163.92 gCO₂e/kWh	192.1 %	36 GB	3min 39s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	697.03 mWh	862.4 mWh
14	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_STD_REP2_T1)	1.39 Wh	227.66 mg	-	163.92 gCO₂e/kWh	203.2 %	36 GB	3min 11s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	640.12 mWh	748.72 mWh
