task_id,status,name,energy_consumption,CO2e,CO2e_market,carbon_intensity,%cpu,memory,realtime,cpus,powerdraw_cpu,cpu_model,raw_energy_processor,raw_energy_memory
2,COMPLETED,NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),31.32 mWh,5.13 mg,-,163.92 gCO₂e/kWh,44.6 %,6.44 GB,25s 1000ms,1,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,19.13 mWh,12.19 mWh
1,COMPLETED,NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (genome.fa),57.63 mWh,9.45 mg,-,163.92 gCO₂e/kWh,56.8 %,6.44 GB,41s 0ms,1,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,38.41 mWh,19.22 mWh
4,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR16578808),218.31 mWh,35.79 mg,-,163.92 gCO₂e/kWh,74.2 %,12.88 GB,1min 41s 0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,123.6 mWh,94.71 mWh
3,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR16578807),259.01 mWh,42.46 mg,-,163.92 gCO₂e/kWh,80.9 %,12.88 GB,1min 54s 0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,152.11 mWh,106.9 mWh
5,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR16578809),303.79 mWh,49.8 mg,-,163.92 gCO₂e/kWh,80.6 %,12.88 GB,2min 13s 1000ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,178.13 mWh,125.66 mWh
6,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR16578810),280.39 mWh,45.96 mg,-,163.92 gCO₂e/kWh,96.3 %,12.88 GB,1min 50s 1000ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,176.3 mWh,104.09 mWh
7,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR16578811),295.99 mWh,48.52 mg,-,163.92 gCO₂e/kWh,99.2 %,12.88 GB,1min 54s 1000ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,188.15 mWh,107.84 mWh
8,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR16578812),320.59 mWh,52.55 mg,-,163.92 gCO₂e/kWh,99.9 %,12.88 GB,2min 3s 1000ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,204.31 mWh,116.28 mWh
9,COMPLETED,NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa),492.79 mWh,80.78 mg,-,163.92 gCO₂e/kWh,85.4 %,64.42 GB,1min 20s 822ms,12,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,113.84 mWh,378.95 mWh
11,COMPLETED,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578808),909.06 mWh,149.01 mg,-,163.92 gCO₂e/kWh,180.5 %,38.65 GB,2min 36s 1000ms,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,467.39 mWh,441.67 mWh
