task_id,status,name,energy_consumption,CO2e,CO2e_market,carbon_intensity,%cpu,memory,realtime,cpus,powerdraw_cpu,cpu_model,raw_energy_processor,raw_energy_memory
2,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (chipseq-input.csv),261.98 uWh,42.94 ug,-,163.92 gCO₂e/kWh,32.9 %,6.44 GB,259ms,1,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,140.54 uWh,121.44 uWh
1,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa),118.85 mWh,19.48 mg,-,163.92 gCO₂e/kWh,19 %,12.88 GB,1min 35s 0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,29.77 mWh,89.08 mWh
3,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf),174.74 mWh,28.64 mg,-,163.92 gCO₂e/kWh,36.9 %,12.88 GB,1min 53s 0ms,2,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,68.77 mWh,105.96 mWh
5,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K4me1_LAPC4_Control_REP1_T1),811.56 mWh,133.03 mg,-,163.92 gCO₂e/kWh,66 %,38.65 GB,3min 28s 0ms,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,226.42 mWh,585.15 mWh
7,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K4me1_LAPC4_Control_REP2_T1),823.39 mWh,134.97 mg,-,163.92 gCO₂e/kWh,68.3 %,38.65 GB,3min 29s 0ms,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,235.43 mWh,587.96 mWh
8,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K4me1_LAPC4_Control_REP3_T1),611.16 mWh,100.18 mg,-,163.92 gCO₂e/kWh,101.9 %,38.65 GB,2min 16s 0ms,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,228.57 mWh,382.6 mWh
10,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K4me1_LAPC4_Daro_REP1_T1),724 mWh,118.68 mg,-,163.92 gCO₂e/kWh,100.4 %,38.65 GB,2min 42s,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,268.26 mWh,455.74 mWh
11,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K4me1_LAPC4_Daro_REP2_T1),668.77 mWh,109.63 mg,-,163.92 gCO₂e/kWh,96.2 %,38.65 GB,2min 31s 1000ms,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,241.17 mWh,427.61 mWh
12,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K4me1_LAPC4_Daro_REP3_T1),656.79 mWh,107.66 mg,-,163.92 gCO₂e/kWh,98.5 %,38.65 GB,2min 27s 1000ms,6,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,240.44 mWh,416.35 mWh
6,COMPLETED,NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (H3K4me1_LAPC4_Control_REP2_T1),3.31 Wh,542.58 mg,-,163.92 gCO₂e/kWh,415 %,64.42 GB,4min 46s 1000ms,12,5.94 W,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,1.96 Wh,1.35 Wh
