task_id	status	name	energy_consumption	CO2e	CO2e_market	carbon_intensity	%cpu	memory	realtime	cpus	powerdraw_cpu	cpu_model	raw_energy_processor	raw_energy_memory
11	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R3)	536.49 mWh	87.94 mg	-	163.92 gCO₂e/kWh	105.4 %	42 GB	1min 24s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	147.76 mWh	388.73 mWh
7	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R2)	1.3 Wh	213.44 mg	-	163.92 gCO₂e/kWh	72.6 %	12 GB	8min 39s 1000ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	622.65 mWh	679.47 mWh
2	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R1)	1.41 Wh	230.92 mg	-	163.92 gCO₂e/kWh	74.4 %	12 GB	9min 15s 1000ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	682.26 mWh	726.51 mWh
10	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (A549_R3)	565.41 mWh	92.68 mg	-	163.92 gCO₂e/kWh	98.4 %	12 GB	3min 12s 1000ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	313.22 mWh	252.19 mWh
12	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1)	777.74 mWh	127.49 mg	-	163.92 gCO₂e/kWh	103 %	42 GB	2min 3s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	210.65 mWh	567.09 mWh
15	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R2)	311.7 mWh	51.09 mg	-	163.92 gCO₂e/kWh	108.4 %	42 GB	48s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	87.6 mWh	224.09 mWh
14	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R2)	299.88 mWh	49.16 mg	-	163.92 gCO₂e/kWh	97.3 %	12 GB	1min 42s 1000ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	165.29 mWh	134.59 mWh
13	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R1)	714.29 mWh	117.09 mg	-	163.92 gCO₂e/kWh	99 %	12 GB	4min 2s 1000ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	396.77 mWh	317.52 mWh
19	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R3)	1.14 Wh	187.07 mg	-	163.92 gCO₂e/kWh	102.9 %	42 GB	3min 2s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	308.88 mWh	832.35 mWh
21	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_INDEX (genome.fa)	2.25 Wh	368.7 mg	-	163.92 gCO₂e/kWh	136.6 %	60 GB	4min 15s 1000ms	12	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	576.76 mWh	1.67 Wh
20	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:NANOPLOT (K562_R3)	1.43 Wh	235 mg	-	163.92 gCO₂e/kWh	61.2 %	12 GB	10min 18s 1000ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	624.8 mWh	808.83 mWh
25	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (K562_R1)	26.52 Wh	4.35 g	-	163.92 gCO₂e/kWh	578.1 %	42 GB	31min 19s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	17.93 Wh	8.6 Wh
24	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3)	27.41 Wh	4.49 g	-	163.92 gCO₂e/kWh	579 %	42 GB	32min 21s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	18.54 Wh	8.88 Wh
22	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R1)	40.53 Wh	6.64 g	-	163.92 gCO₂e/kWh	583.7 %	42 GB	47min 34s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	27.48 Wh	13.05 Wh
28	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (K562_R1)	480.25 mWh	78.72 mg	-	163.92 gCO₂e/kWh	163.9 %	42 GB	1min 5s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	178.41 mWh	301.84 mWh
29	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R3)	333.9 mWh	54.73 mg	-	163.92 gCO₂e/kWh	172.6 %	42 GB	45s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	128.1 mWh	205.8 mWh
26	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (K562_R2)	17.32 Wh	2.84 g	-	163.92 gCO₂e/kWh	573.2 %	42 GB	20min 35s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	11.68 Wh	5.65 Wh
30	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R1)	1.05 Wh	172.83 mg	-	163.92 gCO₂e/kWh	105.5 %	42 GB	2min 47s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	290.58 mWh	763.75 mWh
31	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R1)	679 mWh	111.3 mg	-	163.92 gCO₂e/kWh	142.8 %	42 GB	1min 37s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	230.81 mWh	448.19 mWh
32	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R3)	489.95 mWh	80.31 mg	-	163.92 gCO₂e/kWh	135.3 %	42 GB	1min 11s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	160.67 mWh	329.28 mWh
33	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (K562_R2)	822.91 mWh	134.89 mg	-	163.92 gCO₂e/kWh	25.1 %	42 GB	2min 45s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	68.31 mWh	754.6 mWh
35	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (K562_R1)	62.12 mWh	10.18 mg	-	163.92 gCO₂e/kWh	109.1 %	12 GB	20s 0ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	35.99 mWh	26.13 mWh
36	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (A549_R3)	45.36 mWh	7.43 mg	-	163.92 gCO₂e/kWh	117.2 %	12 GB	14s 0ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	27.06 mWh	18.29 mWh
37	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R2)	278.6 mWh	45.67 mg	-	163.92 gCO₂e/kWh	124.9 %	42 GB	42s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	86.52 mWh	192.08 mWh
38	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (K562_R1)	0 Wh	0 g	-	163.92 gCO₂e/kWh	7 %	6 GB	0ms	1	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	0 Wh	0 Wh
39	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (K562_R1)	48.66 mWh	7.98 mg	-	163.92 gCO₂e/kWh	107.9 %	6 GB	20s 0ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	35.59 mWh	13.07 mWh
34	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1)	1.85 Wh	303.33 mg	-	163.92 gCO₂e/kWh	109.6 %	42 GB	4min 50s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	524.22 mWh	1.33 Wh
42	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (1)	773.5 mWh	126.79 mg	-	163.92 gCO₂e/kWh	57.7 %	42 GB	2min 20s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	133.23 mWh	640.27 mWh
40	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (K562_R1)	140.29 mWh	23 mg	-	163.92 gCO₂e/kWh	137.6 %	6 GB	47s 1000ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	108.93 mWh	31.36 mWh
41	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1)	1.36 Wh	222.53 mg	-	163.92 gCO₂e/kWh	126.2 %	42 GB	3min 24s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	424.61 mWh	932.96 mWh
43	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (A549_R3)	0 Wh	0 g	-	163.92 gCO₂e/kWh	109.6 %	6 GB	0ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	0 Wh	0 Wh
44	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (A549_R3)	34.59 mWh	5.67 mg	-	163.92 gCO₂e/kWh	121.7 %	6 GB	12s 1000ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	26.09 mWh	8.49 mWh
45	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (2)	376.26 mWh	61.68 mg	-	163.92 gCO₂e/kWh	96.7 %	42 GB	1min 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	97.29 mWh	278.97 mWh
47	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (A549_R3)	106.66 mWh	17.48 mg	-	163.92 gCO₂e/kWh	126.2 %	6 GB	38s 1000ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	81.18 mWh	25.48 mWh
48	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (K562_R2)	26.13 mWh	4.28 mg	-	163.92 gCO₂e/kWh	118.8 %	12 GB	7s 1000ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	15.67 mWh	10.45 mWh
49	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (A549_R1)	101.15 mWh	16.58 mg	-	163.92 gCO₂e/kWh	118.6 %	12 GB	30s 1000ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	60.64 mWh	40.51 mWh
50	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (K562_R1)	92.33 mWh	15.13 mg	-	163.92 gCO₂e/kWh	95.9 %	42 GB	15s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	23.73 mWh	68.6 mWh
46	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R3)	939.59 mWh	154.02 mg	-	163.92 gCO₂e/kWh	123.9 %	42 GB	2min 21s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	290.18 mWh	649.41 mWh
52	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:UCSC_BED12TOBIGBED (A549_R3)	74.57 mWh	12.22 mg	-	163.92 gCO₂e/kWh	99.5 %	42 GB	11s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	19.69 mWh	54.88 mWh
51	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (K562_R1)	274.18 mWh	44.94 mg	-	163.92 gCO₂e/kWh	84.1 %	42 GB	46s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	63.81 mWh	210.37 mWh
57	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (K562_R2)	18.3 mWh	3 mg	-	163.92 gCO₂e/kWh	118.9 %	6 GB	6s 1000ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	13.73 mWh	4.57 mWh
55	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (K562_R2)	0 Wh	0 g	-	163.92 gCO₂e/kWh	79.5 %	6 GB	0ms	1	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	0 Wh	0 Wh
53	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (3)	164.51 mWh	26.97 mg	-	163.92 gCO₂e/kWh	121.7 %	42 GB	24s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	50.18 mWh	114.33 mWh
56	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (K562_R2)	55.82 mWh	9.15 mg	-	163.92 gCO₂e/kWh	129.6 %	6 GB	20s 0ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	42.75 mWh	13.07 mWh
54	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R2)	715.41 mWh	117.27 mg	-	163.92 gCO₂e/kWh	99.9 %	42 GB	1min 54s 1000ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	189.48 mWh	525.93 mWh
60	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (A549_R1)	0 Wh	0 g	-	163.92 gCO₂e/kWh	108.1 %	6 GB	0ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	0 Wh	0 Wh
58	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (A549_R1)	75.14 mWh	12.32 mg	-	163.92 gCO₂e/kWh	123.1 %	6 GB	28s 0ms	2	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	56.85 mWh	18.29 mWh
61	COMPLETED	NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4)	869.99 mWh	142.61 mg	-	163.92 gCO₂e/kWh	102.2 %	42 GB	2min 19s 0ms	6	5.94 W	Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz	234.3 mWh	635.69 mWh
