timestamp,energy_1,energy_2
1780897776149,249577969665,235323526733
1780897777150,249616215270,235357513549
1780897778150,249653488891,235391222167
1780897779151,249689954833,235424721862
1780897780151,249727714721,235458683044
1780897781152,249765025634,235487404235
1780897782153,249797204589,235517523986
1780897783153,249827943420,235545299682
1780897784154,249849966369,235564196411
1780897785155,249876248046,235594027099
1780897786156,249908708557,235627862243
1780897787156,249946734130,235662018249
1780897788157,249983640441,235696044799
1780897789157,250020622619,235729545593
1780897790158,250057694885,235763337768
1780897791158,250095016235,235797266906
1780897792159,250132918518,235830997985
1780897793159,250170119873,235865029541
1780897794160,250206789184,235897228759
1780897795160,250244982360,235931865600
1780897796161,250282624206,235966028869
1780897797161,250320658691,236000458618
1780897798162,250358384460,236033061889
1780897799162,250395292053,236065070922
1780897800163,250433054443,236098963745
1780897801163,250470811096,236132786010
1780897802164,250506881347,236166471252
1780897803165,250543956115,236200580200
1780897804165,250581896240,236234889953
1780897805166,250619831787,236269528564
1780897806166,250658193115,236303755004
1780897807167,250697224670,236338087524
1780897808167,250735414916,236372284484
1780897809168,250772675231,236406373168
1780897810168,250810665405,236440708251
1780897811168,250848644531,236474948242
1780897812169,250887393981,236509325500
1780897813170,250925760131,236543784362
1780897814170,250963679382,236575463134
1780897815171,251001474975,236603633361
1780897816172,251039679138,236627636718
1780897817172,251077791687,236653430114
1780897818174,251115234313,236682812622
1780897819175,251153523376,236707644226
1780897820175,251191603393,236739181579
1780897821176,251229622985,236773165954
1780897822176,251268420837,236807412292
1780897823177,251306662780,236841692077
1780897824177,251344671447,236876111022
1780897825178,251383552856,236910562438
1780897826178,251421705566,236944723876
1780897827179,251460471191,236979164184
1780897828179,251499349243,237013900817
1780897829180,251537537353,237048425231
1780897830180,251576477111,237083863525
1780897831181,251615647827,237119322998
1780897832181,251656101379,237153336547
1780897833182,251692549865,237180545532
1780897834182,251727183715,237206334411
1780897835183,251763453430,237238178344
1780897836184,251801518310,237261825561
1780897837184,251839718017,237292642639
1780897838185,251877490844,237326871276
1780897839185,251915433166,237360925903
1780897840186,251953880371,237395668212
1780897841186,251991857055,237429954589
1780897842187,252030353698,237464109497
1780897843187,252069008789,237498489562
1780897844187,252106123840,237532642272
1780897845188,252144348022,237567154541
1780897846189,252183258300,237601498107
1780897847189,252221322448,237635744018
1780897848190,252259226318,237670095581
1780897849190,252296147460,237696082397
1780897850191,252331629882,237725242858
1780897851192,252365411010,237758911010
1780897852192,252400746643,237792968505
1780897853193,252436636962,237819408935
1780897854194,252473133056,237850421081
1780897855194,252511269897,237884669006
1780897856195,252549412048,237918725646
1780897857195,252587702880,237952911315
1780897858196,252626434631,237987089416
1780897859196,252664205261,238020715820
1780897860197,252702382202,238054534973
1780897861197,252740517700,238088681396
1780897862198,252778297241,238122869812
1780897863198,252816148498,238157045959
1780897864198,252854496520,238191799438
1780897865199,252893464782,238226875305
1780897866199,252932257690,238261112915
1780897867200,252971427673,238295478271
1780897868201,253010209045,238325521484
1780897869201,253048669799,238352161376
1780897870202,253088336120,238384237182
1780897871203,253130508605,238418952148
1780897872203,253171161682,238453339233
1780897873204,253210470581,238487727355
1780897874204,253249359069,238521707702
1780897875205,253288112670,238555898925
1780897876205,253327532348,238590055053
1780897877206,253366919799,238624222473
1780897878206,253406053222,238658367370
1780897879207,253445672912,238692564514
1780897880207,253485216369,238726999328
1780897881208,253524514770,238761143981
1780897882208,253564367431,238795472595
1780897883208,253603460144,238824705444
1780897884209,253641996215,238848749023
1780897885210,253681084594,238879865478
1780897886210,253719854614,238910337402
1780897887211,253758350891,238944177124
1780897888212,253797750549,238978481872
1780897889212,253836403991,239012502502
1780897890213,253875366760,239046692382
1780897891213,253915028747,239081490539
1780897892214,253954181884,239115997985
