threads,load,energy,,,time,,,util
0,0,438.48,Joules,power/energy-pkg/,20001994338,100.00,,0
1,25,457.10,Joules,power/energy-pkg/,20028309855,100.00,,25
2,25,464.18,Joules,power/energy-pkg/,20027768173,100.00,,51
3,25,493.00,Joules,power/energy-pkg/,20500326996,100.00,,74
4,25,487.53,Joules,power/energy-pkg/,20027648970,100.00,,100
5,25,502.13,Joules,power/energy-pkg/,20430483459,100.00,,123
6,25,515.03,Joules,power/energy-pkg/,20482565678,100.00,,149
7,25,521.10,Joules,power/energy-pkg/,20396606030,100.00,,173
8,25,535.20,Joules,power/energy-pkg/,20431549246,100.00,,197
9,25,539.51,Joules,power/energy-pkg/,20396375572,100.00,,221
10,25,541.82,Joules,power/energy-pkg/,20081177991,100.00,,250
11,25,551.65,Joules,power/energy-pkg/,20156497970,100.00,,274
12,25,553.05,Joules,power/energy-pkg/,20033701817,100.00,,301
13,25,560.64,Joules,power/energy-pkg/,20148960683,100.00,,324
14,25,574.51,Joules,power/energy-pkg/,20256484851,100.00,,347
15,25,579.50,Joules,power/energy-pkg/,20207295346,100.00,,373
16,25,586.42,Joules,power/energy-pkg/,20468839297,100.00,,393
17,25,608.48,Joules,power/energy-pkg/,20515168477,100.00,,418
18,25,613.50,Joules,power/energy-pkg/,20352583398,100.00,,446
19,25,620.13,Joules,power/energy-pkg/,20439987806,100.00,,468
20,25,630.37,Joules,power/energy-pkg/,20499500050,100.00,,492
21,25,630.22,Joules,power/energy-pkg/,20238445055,100.00,,523
22,25,637.44,Joules,power/energy-pkg/,20219915052,100.00,,547
23,25,651.01,Joules,power/energy-pkg/,20590915899,100.00,,563
24,25,644.11,Joules,power/energy-pkg/,20166752257,100.00,,599
25,25,658.77,Joules,power/energy-pkg/,20509063501,100.00,,614
26,25,662.84,Joules,power/energy-pkg/,20577466145,100.00,,637
27,25,666.73,Joules,power/energy-pkg/,20474586061,100.00,,665
28,25,665.14,Joules,power/energy-pkg/,20379920314,100.00,,693
29,25,663.36,Joules,power/energy-pkg/,20361724636,100.00,,718
30,25,669.98,Joules,power/energy-pkg/,20465553132,100.00,,741
31,25,680.88,Joules,power/energy-pkg/,20489495009,100.00,,763
32,25,680.31,Joules,power/energy-pkg/,20482304288,100.00,,789
1,50,473.41,Joules,power/energy-pkg/,20027724612,100.00,,50
2,50,484.38,Joules,power/energy-pkg/,20043297083,100.00,,99
3,50,531.43,Joules,power/energy-pkg/,20091483946,100.00,,149
4,50,534.67,Joules,power/energy-pkg/,20097263741,100.00,,199
5,50,548.19,Joules,power/energy-pkg/,20157674057,100.00,,248
6,50,566.88,Joules,power/energy-pkg/,20069070421,100.00,,299
7,50,579.18,Joules,power/energy-pkg/,20030482835,100.00,,350
8,50,594.63,Joules,power/energy-pkg/,20163616096,100.00,,397
