threads,load,energy,,,time,,,util
45,25,2449.19,Joules,power/energy-pkg/,20397970030,100.00,,1109
46,25,2457.84,Joules,power/energy-pkg/,20347822437,100.00,,1137
47,25,2462.03,Joules,power/energy-pkg/,20380826778,100.00,,1158
48,25,2480.70,Joules,power/energy-pkg/,20374989219,100.00,,1182
49,25,2492.28,Joules,power/energy-pkg/,20382844662,100.00,,1208
50,25,2503.44,Joules,power/energy-pkg/,20375652265,100.00,,1233
51,25,2509.35,Joules,power/energy-pkg/,20332761205,100.00,,1262
52,25,2528.37,Joules,power/energy-pkg/,20357603368,100.00,,1284
53,25,2511.15,Joules,power/energy-pkg/,20405503302,100.00,,1306
54,25,2535.03,Joules,power/energy-pkg/,20402218666,100.00,,1330
55,25,2525.87,Joules,power/energy-pkg/,20388682601,100.00,,1356
56,25,2546.55,Joules,power/energy-pkg/,20379784828,100.00,,1380
57,25,2545.44,Joules,power/energy-pkg/,20387168205,100.00,,1406
58,25,2567.73,Joules,power/energy-pkg/,20405904726,100.00,,1428
59,25,2569.12,Joules,power/energy-pkg/,20400877190,100.00,,1453
60,25,2563.02,Joules,power/energy-pkg/,20340144268,100.00,,1481
61,25,2575.18,Joules,power/energy-pkg/,20405782420,100.00,,1504
62,25,2589.13,Joules,power/energy-pkg/,20385413644,100.00,,1529
63,25,2602.54,Joules,power/energy-pkg/,20426206483,100.00,,1549
64,25,2589.75,Joules,power/energy-pkg/,20396400398,100.00,,1576
1,50,1702.67,Joules,power/energy-pkg/,20016939893,100.00,,50
2,50,1825.87,Joules,power/energy-pkg/,20015402328,100.00,,100
3,50,1898.06,Joules,power/energy-pkg/,20095750848,100.00,,149
4,50,1932.23,Joules,power/energy-pkg/,20126794559,100.00,,198
5,50,2005.25,Joules,power/energy-pkg/,20034953297,100.00,,249
6,50,2026.62,Joules,power/energy-pkg/,20124821514,100.00,,298
7,50,2065.26,Joules,power/energy-pkg/,20144506130,100.00,,347
8,50,2115.99,Joules,power/energy-pkg/,20019217425,100.00,,400
9,50,2113.63,Joules,power/energy-pkg/,20120657872,100.00,,447
10,50,2170.84,Joules,power/energy-pkg/,20115600568,100.00,,497
11,50,2207.76,Joules,power/energy-pkg/,20126292479,100.00,,547
12,50,2213.28,Joules,power/energy-pkg/,20149986209,100.00,,595
13,50,2257.05,Joules,power/energy-pkg/,20148424449,100.00,,646
14,50,2280.47,Joules,power/energy-pkg/,20129380365,100.00,,696
15,50,2303.69,Joules,power/energy-pkg/,20150282821,100.00,,744
16,50,2335.25,Joules,power/energy-pkg/,20128250931,100.00,,795
17,50,2351.05,Joules,power/energy-pkg/,20146189710,100.00,,844
18,50,2376.51,Joules,power/energy-pkg/,20137475911,100.00,,894
19,50,2398.31,Joules,power/energy-pkg/,20142785359,100.00,,943
20,50,2421.58,Joules,power/energy-pkg/,20144486006,100.00,,993
21,50,2433.67,Joules,power/energy-pkg/,20141716607,100.00,,1042
22,50,2459.50,Joules,power/energy-pkg/,20143472806,100.00,,1091
23,50,2469.28,Joules,power/energy-pkg/,20157694353,100.00,,1141
24,50,2482.59,Joules,power/energy-pkg/,20139239386,100.00,,1192
25,50,2451.66,Joules,power/energy-pkg/,20047752984,100.00,,1244
26,50,2496.38,Joules,power/energy-pkg/,20140434496,100.00,,1290
27,50,2517.00,Joules,power/energy-pkg/,20124802328,100.00,,1340
28,50,2527.45,Joules,power/energy-pkg/,20141964431,100.00,,1390
29,50,2526.42,Joules,power/energy-pkg/,20147579068,100.00,,1438
30,50,2539.93,Joules,power/energy-pkg/,20157949865,100.00,,1489
31,50,2546.30,Joules,power/energy-pkg/,20173621916,100.00,,1536
32,50,2568.69,Joules,power/energy-pkg/,20165182191,100.00,,1586
33,50,2587.43,Joules,power/energy-pkg/,20148427665,100.00,,1638
34,50,2647.35,Joules,power/energy-pkg/,20159114770,100.00,,1686
35,50,2638.14,Joules,power/energy-pkg/,20158619790,100.00,,1735
36,50,2653.03,Joules,power/energy-pkg/,20155735898,100.00,,1786
37,50,2665.87,Joules,power/energy-pkg/,20162580966,100.00,,1833
38,50,2683.10,Joules,power/energy-pkg/,20180009285,100.00,,1885
39,50,2694.46,Joules,power/energy-pkg/,20156862062,100.00,,1933
40,50,2709.32,Joules,power/energy-pkg/,20180472615,100.00,,1983
41,50,2722.21,Joules,power/energy-pkg/,20179534074,100.00,,2031
42,50,2728.36,Joules,power/energy-pkg/,20155563307,100.00,,2082
43,50,2735.82,Joules,power/energy-pkg/,20186696129,100.00,,2129
44,50,2753.13,Joules,power/energy-pkg/,20157787948,100.00,,2182
45,50,2769.12,Joules,power/energy-pkg/,20181501506,100.00,,2230
46,50,2766.59,Joules,power/energy-pkg/,20182035512,100.00,,2279
47,50,2775.43,Joules,power/energy-pkg/,20178918519,100.00,,2329
48,50,2787.43,Joules,power/energy-pkg/,20178843399,100.00,,2379
49,50,2789.09,Joules,power/energy-pkg/,20161493752,100.00,,2430
50,50,2800.27,Joules,power/energy-pkg/,20204783083,100.00,,2478
51,50,2814.77,Joules,power/energy-pkg/,20190425468,100.00,,2526
52,50,2814.08,Joules,power/energy-pkg/,20206926465,100.00,,2574
53,50,2819.26,Joules,power/energy-pkg/,20182622453,100.00,,2624
54,50,2824.71,Joules,power/energy-pkg/,20177543010,100.00,,2675
55,50,2829.74,Joules,power/energy-pkg/,20183878358,100.00,,2725
56,50,2838.78,Joules,power/energy-pkg/,20210139170,100.00,,2773
57,50,2844.79,Joules,power/energy-pkg/,20212180503,100.00,,2821
