task_id,hostname,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,cpu_model
8,-,275685,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070149,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070149),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738598855203,1738598855246,1738598856885,1682,10,-,182.9,0.0,0,0,0,0,141778,879,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-15/work/93/5112f3c6d026d9f40574020796e46f,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
4,-,275673,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070132,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070132),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738598855172,1738598855240,1738598856875,1703,12,-,120.0,0.0,0,0,0,0,141778,879,227,17,208896,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-15/work/10/e602c783e109efe395519e0f804c68,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
6,-,275701,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070134,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070134),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738598855229,1738598855250,1738598856955,1726,10,-,90.1,0.0,0,0,0,0,141778,878,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-15/work/3c/3ae38f5f6b3cddd5686c7858392248,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
3,-,275692,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070131,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070131),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738598855215,1738598855248,1738598857055,1840,32,-,58.2,0.0,0,0,0,0,141778,878,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-15/work/0f/5dd034d3ff189deb472c8cb7381cfa,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
1,-,275679,NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY,-,NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY,COMPLETED,0,-,docker.io/biocontainers/biocontainers:v1.2.0_cv1,2,21600000,-,12884901888,1,1738598855188,1738598855243,1738598857419,2231,569,-,51.9,0.0,6197248,16896000,6197248,16896000,5940906,32562674,320,1019,0,32583680,28,3,/users/grad/kathleen/ichnos-gpgnode-15/work/ba/3fa57769d6ad0236d99aaddc3c659b,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
9,-,276077,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070150,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070150),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738598856891,1738598856956,1738598858770,1879,10,-,139.1,0.0,0,0,0,0,141778,879,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-15/work/b8/d5246f1de71512a2013afe9dd8168f,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
5,-,276142,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070133,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070133),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738598856906,1738598856973,1738598858843,1937,9,-,94.1,0.0,0,0,0,0,141777,878,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-15/work/2c/acde737476439e6d6c4012ea73353a,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
2,-,276223,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070130,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070130),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738598856971,1738598857057,1738598858877,1906,10,-,139.1,0.0,0,0,0,0,141777,879,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-15/work/a4/bbc39caf90c713239724a84a9e416d,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
7,-,276231,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070141,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070141),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738598857073,1738598857355,1738598858966,1893,10,-,97.0,0.0,0,0,0,0,141777,878,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-15/work/09/6e50bd75b48c60b0b4ca9222d7d6c8,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
10,-,276260,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES,SRR10070151,NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (SRR10070151),COMPLETED,0,-,quay.io/nf-core/ubuntu:20.04,2,21600000,-,12884901888,1,1738598857606,1738598857619,1738598859179,1573,10,-,100.0,0.0,0,0,0,0,141778,879,227,17,0,4096,0,0,/users/grad/kathleen/ichnos-gpgnode-15/work/70/8cc5f933b2ee083e8e8b126204cd11,-,-,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz
