test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,49.97,11.39,39.60
CPUStress,32,10,58.93,11.79,39.00
CPUStress,32,20,67.79,11.81,38.60
CPUStress,32,30,75.24,11.76,38.00
CPUStress,32,40,82.72,12.10,39.00
CPUStress,32,50,87.82,12.19,40.80
CPUStress,32,60,92.93,12.21,41.00
CPUStress,32,70,97.30,12.19,42.80
CPUStress,32,80,102.49,12.35,44.00
CPUStress,32,90,104.54,12.22,46.10
CPUStress,32,100,105.14,11.96,46.70
ipsec,32,100,114.16,11.46,48.10
VMStress,32,100,99.21,34.39,45.70
maximize,32,100,105.44,17.17,48.00
