test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,49.60,12.01,30.40
CPUStress,32,10,67.23,12.21,31.50
CPUStress,32,20,78.23,12.09,34.50
CPUStress,32,30,86.92,12.12,36.60
CPUStress,32,40,96.06,12.12,37.40
CPUStress,32,50,104.03,12.12,40.20
CPUStress,32,60,108.75,11.98,42.30
CPUStress,32,70,114.66,12.20,45.40
CPUStress,32,80,119.92,12.30,47.70
CPUStress,32,90,123.88,12.11,48.70
CPUStress,32,100,125.55,12.17,50.30
ipsec,32,100,136.70,12.13,51.80
VMStress,32,100,115.38,35.10,48.20
maximize,32,100,125.11,18.11,51.00
