test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,49.39,11.69,38.80
CPUStress,32,10,57.86,11.61,38.20
CPUStress,32,20,67.28,11.75,37.80
CPUStress,32,30,74.88,11.86,38.00
CPUStress,32,40,82.12,11.79,38.80
CPUStress,32,50,88.10,11.89,39.80
CPUStress,32,60,93.52,12.24,40.40
CPUStress,32,70,98.51,12.31,41.90
CPUStress,32,80,101.31,12.13,42.30
CPUStress,32,90,104.30,12.07,44.00
CPUStress,32,100,104.84,11.91,46.10
ipsec,32,100,114.23,11.35,47.00
VMStress,32,100,99.14,34.65,44.90
maximize,32,100,106.35,16.87,48.00
