test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,50.97,11.79,41.90
CPUStress,32,10,65.83,11.94,42.50
CPUStress,32,20,78.69,11.84,41.30
CPUStress,32,30,88.55,11.97,41.10
CPUStress,32,40,97.13,12.12,43.40
CPUStress,32,50,104.27,12.21,45.30
CPUStress,32,60,110.00,12.10,46.70
CPUStress,32,70,117.13,12.26,48.50
CPUStress,32,80,121.52,12.26,49.60
CPUStress,32,90,123.45,12.16,50.90
CPUStress,32,100,125.85,12.13,52.00
ipsec,32,100,136.62,11.92,52.90
VMStress,32,100,115.63,33.77,50.30
maximize,32,100,124.85,18.01,52.00
