test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,49.57,11.70,40.50
CPUStress,32,10,66.12,11.86,40.10
CPUStress,32,20,78.25,11.95,40.40
CPUStress,32,30,86.92,12.07,41.30
CPUStress,32,40,96.59,12.28,43.30
CPUStress,32,50,104.09,12.34,44.10
CPUStress,32,60,111.90,12.47,45.30
CPUStress,32,70,116.12,12.34,47.90
CPUStress,32,80,122.03,12.51,49.40
CPUStress,32,90,123.51,12.18,50.60
CPUStress,32,100,125.86,12.13,51.10
ipsec,32,100,136.29,11.94,52.00
VMStress,32,100,115.78,34.40,49.70
maximize,32,100,125.28,17.81,52.10
