test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,48.96,11.81,31.30
CPUStress,32,10,64.98,12.07,32.90
CPUStress,32,20,78.46,12.25,34.50
CPUStress,32,30,88.44,12.24,35.90
CPUStress,32,40,96.21,12.26,38.50
CPUStress,32,50,104.08,12.30,40.30
CPUStress,32,60,110.35,12.23,43.20
CPUStress,32,70,114.82,12.11,45.80
CPUStress,32,80,119.74,12.24,47.60
CPUStress,32,90,122.91,12.17,48.40
CPUStress,32,100,125.62,12.14,50.10
ipsec,32,100,136.55,11.67,51.10
VMStress,32,100,115.92,34.51,48.30
maximize,32,100,125.11,17.95,51.70
