test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,48.88,11.49,30.00
CPUStress,32,10,58.34,11.81,30.80
CPUStress,32,20,67.30,11.83,32.50
CPUStress,32,30,75.27,11.86,33.60
CPUStress,32,40,82.72,12.01,35.30
CPUStress,32,50,88.32,12.14,37.40
CPUStress,32,60,93.02,12.02,38.00
CPUStress,32,70,96.50,11.96,39.80
CPUStress,32,80,101.75,12.12,41.10
CPUStress,32,90,104.03,11.99,42.60
CPUStress,32,100,104.72,11.85,44.00
ipsec,32,100,113.85,11.58,46.00
VMStress,32,100,98.76,34.20,43.30
maximize,32,100,105.03,17.22,46.80
