test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,51.32,12.09,42.50
CPUStress,32,10,67.88,11.98,40.30
CPUStress,32,20,78.03,11.81,40.50
CPUStress,32,30,87.69,11.96,41.30
CPUStress,32,40,96.57,11.98,42.80
CPUStress,32,50,104.54,12.15,44.70
CPUStress,32,60,111.37,12.27,46.40
CPUStress,32,70,115.28,12.18,47.80
CPUStress,32,80,120.74,12.20,49.20
CPUStress,32,90,124.86,12.07,50.30
CPUStress,32,100,125.88,11.96,51.60
ipsec,32,100,136.59,11.59,52.10
VMStress,32,100,115.89,34.86,49.60
maximize,32,100,125.04,17.65,51.90
