task;hash;inputs;inputSize;outputs;outputSize;usedBy
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);7f1d64ff1ebdd64234ba7ad31c34a381;1;3157608038;3;1248;27
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf);1a165d9f9c7e7e6859cd49232fca69bc;1;142063633;2;8097915;7
NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv);8a48e42d5914dc68a122a37cd7299674;1;853;2;1012;0
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP1_T1);87cd7e737b9685bc5702b33891b81767;2;455494428;9;432412385;2
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP1_T1);2880780269ea0950002b32efc9e93ce9;2;455494428;5;1854427;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP2_T1);f65e0fe2e4e8f6f8c1bee154b886873d;2;801187459;5;1876016;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1);737bb9270598895062eabfc87850254a;2;801187459;9;763883486;2
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_OMNI_REP1_T1);0eed9617b3eda97c4c8776525d41fcf3;2;3259653689;5;1916032;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_OMNI_REP1_T1);c9f90ac0f4e02220cc5fe64c064fc574;2;3259653689;9;3085456114;2
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_OMNI_REP2_T1);5791476b411593bbbc2885833f0e0ace;2;2696661891;9;2547019795;2
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_OMNI_REP2_T1);7085223b4b82fc640339588b0114f498;2;2696661891;5;1916021;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_STD_REP1_T1);e30c68614ad30e9507f4e14fadfeaded;2;2402740257;9;2240186398;2
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_STD_REP1_T1);21e8b48554ccaeb70860a769b4b6511d;2;2402740257;5;1916988;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_STD_REP2_T1);61685feb859427a9f0bc438614a07c95;2;2286351475;5;1900225;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_STD_REP2_T1);3f4bb6ea62e2b811899b6b359f205c64;2;2286351475;9;2148023870;2
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT;3221a0a29d3dfd3a0f960af536581471;1;8097849;2;2132999;12
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes);7242b44f614d53bde7741086e62bbf21;2;19162;2;9953;6
NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (genome.fa.fai);878d4f53cb37d8a77e245f0b429a6193;1;783;2;196;6
NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM (GM12878_FAST_REP1_T1);1bc7e0421740f10cff3f1d41c83b55f3;3;9005587410;2;682842929;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BWA_MEM (GM12878_FAST_REP2_T1);b1edfb7c9b9428dabea43741959b37ca;3;9337051865;2;1213189129;1
NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (GM12878_FAST_REP1_T1);d94013dbed14aac3de32f3c45a27f152;1;682842834;2;552026917;6
NFCORE_ATACSEQ:ATACSEQ:FASTQ_ALIGN_BWA:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (GM12878_FAST_REP1_T1);066f9f34d16372f099e4ffe8a482d218;1;552026817;2;3260469;3
