,Id,Start timestamp,End timestamp,Cpu_count,Avg_cpu_usage,Memory,Hostname,duration,cpu_model
0,ichnos_cpu_high_mem_low_w01_t01,1781754942000,1781755545585,3.99997,372.80163,145588224,hu-worker-c44,603585,Intel Xeon Silver 4314
1,ichnos_cpu_high_mem_low_w01_t02,1781754942000,1781755545586,4.000369,392.366292,145453056,hu-worker-c45,603586,Intel Xeon Silver 4314
2,ichnos_cpu_high_mem_low_w01_t03,1781754942000,1781755546955,3.999729,376.253495,145457152,hu-worker-c42,604955,Intel Xeon Silver 4314
3,ichnos_cpu_high_mem_low_w01_t04,1781754942000,1781755545587,3.999829,387.843637,145461248,hu-worker-c40,603587,Intel Xeon Silver 4314
4,ichnos_cpu_high_mem_low_w02_t01,1781755548000,1781756153423,3.999405,384.282621,145498112,hu-worker-c42,605423,Intel Xeon Silver 4314
5,ichnos_cpu_high_mem_low_w02_t02,1781755548000,1781756153424,4.000059,379.358523,145444864,hu-worker-c45,605424,Intel Xeon Silver 4314
6,ichnos_cpu_high_mem_low_w02_t04,1781755548000,1781756153426,3.999725,394.563068,145448960,hu-worker-c44,605426,Intel Xeon Silver 4314
7,ichnos_cpu_high_mem_low_w02_t03,1781755549000,1781756153425,3.99995,360.668764,145477632,hu-worker-c40,604425,Intel Xeon Silver 4314
8,ichnos_cpu_high_mem_low_w03_t01,1781756155000,1781756760707,4.000054,380.281713,145510400,hu-worker-c42,605707,Intel Xeon Silver 4314
9,ichnos_cpu_high_mem_low_w03_t02,1781756155000,1781756759342,3.999074,363.729626,145514496,hu-worker-c44,604342,Intel Xeon Silver 4314
10,ichnos_cpu_high_mem_low_w03_t03,1781756155000,1781756759343,3.999843,368.542254,145461248,hu-worker-c45,604343,Intel Xeon Silver 4314
11,ichnos_cpu_high_mem_low_w03_t04,1781756155000,1781756759344,4.000632,367.312136,145457152,hu-worker-c40,604344,Intel Xeon Silver 4314
12,ichnos_cpu_high_mem_low_w04_t01,1781756762000,1781757367191,4.000047,364.287137,145473536,hu-worker-c44,605191,Intel Xeon Silver 4314
13,ichnos_cpu_high_mem_low_w04_t02,1781756762000,1781757367193,3.99968,386.294984,145432576,hu-worker-c45,605193,Intel Xeon Silver 4314
14,ichnos_cpu_high_mem_low_w04_t03,1781756762000,1781757367194,4.000437,381.821045,145506304,hu-worker-c40,605194,Intel Xeon Silver 4314
15,ichnos_cpu_high_mem_low_w04_t04,1781756762000,1781757368110,3.999293,376.19901,145498112,hu-worker-c42,606110,Intel Xeon Silver 4314
