task;hash;inputs;inputSize;outputs;outputSize;usedBy
NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER (genome.fa);5cc1afef7eb2ca0296146d474011b752;2;4063383142;2;838278323;45
NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa);a1ccdbcde651444f817e6210803457ef;1;3147288982;3;1094;30
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR16578807);45618f503d57182a9cd2473c10061c99;2;2160453884;2;1540;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR16578808);f073a6db5ac2a45d0ff29b5892dba300;2;1717281057;2;1540;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR16578809);ff1468f1fc6bea6980ab4031c9f30d37;2;2565593786;2;1540;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR16578810);adce06c3175c452068bf4ad069a2d929;2;2495514534;2;1540;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR16578811);3f39a82c6ed937f13394bdeb5f6af6dc;2;2653863189;2;1540;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR16578812);b347779dc884ddf25385774488bb643c;2;2955089346;2;1540;0
NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa);a6da9589709d513519da82324df0d369;2;3985567244;3;4709423999;6
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578808);96fb2f0db1b8da72b41b7ad6348f0e4a;2;1717281057;9;1599948355;3
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578808);cd702e03181af1c10d684f6558da0147;2;1717281057;5;1900334;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578807);d1d8bd4b7a49a5770c970e3684ed7a42;2;2160453884;5;1902717;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578807);74918118ecc0e89cebd664190371ce2a;2;2160453884;9;2012999361;3
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578809);dd19bb5d4c460d10c15de74ce078d49b;2;2565593786;9;2387291055;4
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578809);bfa7a51d60c019eca65e8ffda345a27f;2;2565593786;5;1908767;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578810);fae520c9a450e6f7c7f94106f53b99d4;2;2495514534;5;1904627;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578810);eaee06c010ebfb08d498d6e1b1411bf1;2;2495514534;9;2323737882;4
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578811);6e0b6065f0076de635c437cd49cadc0b;2;2653863189;9;2468622683;3
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578811);7b2145624854f34e78724b0f4647c220;2;2653863189;5;1901490;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR16578812);69fa0a8c98454aceba266a1b5359dd0e;2;2955089346;5;1900748;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR16578812);fa03e28342bfcb750956e59398926dd2;2;2955089346;9;2751530897;4
NFCORE_RNASEQ:PREPARE_GENOME:SALMON_INDEX (genome.transcripts.fa);5a89c6ff62008cb5bf0447dadb413cbb;2;3437932337;2;17677490166;6
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR16578808);6e68c5367b87fda301c8a9ea7209a015;2;1598003785;2;1555;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR16578807);2a67a69523d872f60827a769e8f13b76;2;2011059688;2;1555;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR16578809);56156beb7df43c419deb98d10d0da7c4;2;2385336770;2;1555;0
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR16578810);058aa2444626838e0765a24bc7510179;2;2321798226;2;1555;0
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SRR16578808);6208fb7f6b75ac025987e9bb9c9f57c7;4;35535143134;7;4920423482;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR16578811);bd7bdb66c9c54d9d875226595045a861;2;2466682078;2;1555;0
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SRR16578807);a9e0d28e2867543ccc038e3a03104c8b;4;35948199037;7;6151096354;3
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SRR16578809);37ed5d7178a4077d4936be3110c13b85;4;36322476119;7;7338896436;3
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SRR16578810);239ab44c477a9c9adb06aa6c9b665a29;4;36258937575;7;7144519554;1
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SRR16578811);d89adefc269b8b586f8dc7fce8bf721f;4;36403821427;7;7535565464;1
NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR16578812);f21981eff4019ff294350315ee75fee1;2;2749589170;2;1555;0
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR16578808);d53cf159a3e2cad4138bab4ebe927491;2;5430590587;2;1190789158;4
NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRR16578808);d801bd99573236858b59ff4c1864b4ed;4;3759526436;3;11545992;2
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR16578807);7e20be01700551da74adb848f6c03884;2;6007298283;2;1476533400;5
NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRR16578807);267ab981b193a6567d586e0bc7148d23;4;4413069274;3;11565631;2
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR16578809);4753de46abeb116393ae8c4c13f175e5;2;6561134419;2;1747812805;5
NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRR16578809);732d458c95db78caab9c4d2c1b01cf93;4;5046748210;3;11582011;2
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN_IGENOMES (SRR16578812);16850670d9781d330aacb266b9d404af;4;36686728519;7;8444148571;1
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR16578808);37c3f0274a29343e648e6f23c9ee5e52;1;1190789065;2;2163294;3
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR16578808);34fb6149aedf2e13a667a0ba48f7de58;5;20113772823;4;11486883;3
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR16578807);62ab4550e7a6dfab3ac019f34f658009;5;20526828726;4;11511721;3
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR16578809);bbc47f5c2017bd8420781900ab436e30;5;20901105808;4;11499571;3
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR16578810);14d771e0ba716249c4c5ff9a33b79c13;5;20837567264;4;11526467;3
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR16578811);2384f6ddd068ab6ca5cfd774a0dc4342;5;20982451116;4;11533324;3
NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR16578812);f4a750bcf59e46df30fc46cfca613e05;5;21265358208;4;11541624;3
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR16578810);4d9b226900506cc976b3dbf2821f625c;2;6468973787;2;1709870559;5
NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (SRR16578810);1624df8a4afbbfe8614df92455f7f981;4;4944684441;3;11582834;2
NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR16578807);6312c1f4989ac725d0d00fa7a17d4501;1;1476533307;2;2301526;3
