load,ram,watts,val
0,0,11.8316,0.184869
10,6,13.0882,0.204503
20,12,12.621,0.197203
30,19,12.6787,0.198105
40,25,12.7856,0.199775
50,32,12.2766,0.191822
60,38,13.0624,0.2041
70,44,12.8997,0.201558
80,51,13.7853,0.215395
90,57,12.5399,0.195936
100,64,12.6338,0.197403
