load,ram,watts,val
0,0,10.9572,0.0428016
10,25,13.2058,0.0515852
20,51,13.7093,0.053552
30,76,13.6109,0.0531676
40,102,13.973,0.054582
50,128,13.9273,0.0544035
60,153,13.9463,0.0544777
70,179,13.9685,0.0545645
80,204,13.9414,0.0544586
90,230,14.874,0.0581016
100,256,13.6569,0.0533473
