load,ram,watts,val
0,0,14.6669,0.22917
10,6,16.021,0.250328
20,12,15.8639,0.247873
30,19,15.6451,0.244455
40,25,15.8639,0.247873
50,32,15.9939,0.249905
60,38,15.8851,0.248205
70,44,15.845,0.247578
80,51,16.8743,0.263661
90,57,15.6087,0.243886
100,64,15.448,0.241375
