load,ram,watts,val
0,0,8.13626,0.0317823
10,25,9.61238,0.0375484
20,51,9.37779,0.036632
30,76,8.98098,0.035082
40,102,8.57323,0.0334892
50,128,8.13612,0.0317817
60,153,7.72372,0.0301708
70,179,10.4112,0.0406687
80,204,7.65479,0.0299015
90,230,7.59416,0.0296647
100,256,7.5743,0.0295871
