load,ram,watts,val
0,0,5.61337,0.0219272
10,25,8.36821,0.0326883
20,51,7.17596,0.0280311
30,76,6.65,0.0259766
40,102,6.18924,0.0241767
50,128,5.7356,0.0224047
60,153,5.33069,0.020823
70,179,8.26308,0.0322777
80,204,5.32636,0.0208061
90,230,5.32645,0.0208064
100,256,5.3207,0.020784
