load,ram,watts,val
0,0,10.4034,0.162553
10,6,11.5897,0.181089
20,12,11.4058,0.178216
30,19,11.4389,0.178733
40,25,11.7784,0.184037
50,32,11.8077,0.184495
60,38,11.6993,0.182802
70,44,11.4452,0.178831
80,51,11.4623,0.179098
90,57,11.2941,0.17647
100,64,11.2785,0.176227
