load,ram,watts,val
0,0,5.69565,0.0222486
10,25,13.1645,0.0514238
20,51,13.6315,0.053248
30,76,12.3971,0.0484262
40,102,13.9669,0.0545582
50,128,14.0069,0.0547145
60,153,14.023,0.0547773
70,179,14.0194,0.0547633
80,204,13.966,0.0545547
90,230,13.8706,0.054182
100,256,13.5551,0.0529496
