load,ram,watts,val
0,0,10.3766,0.162134
10,6,11.5085,0.17982
20,12,11.3469,0.177295
30,19,11.48,0.179375
40,25,11.5724,0.180819
50,32,11.6607,0.182198
60,38,11.2144,0.175225
70,44,11.6687,0.182323
80,51,11.9591,0.186861
90,57,11.412,0.178313
100,64,11.4368,0.1787
