load,ram,watts,val
0,0,7.63656,0.0298303
10,25,14.0157,0.0547488
20,51,13.8589,0.0541363
30,76,14.4744,0.0565406
40,102,14.9634,0.0584508
50,128,15.0733,0.0588801
60,153,15.0768,0.0588938
70,179,14.4953,0.0566223
80,204,14.5615,0.0568809
90,230,14.8255,0.0579121
100,256,14.3378,0.056007
