load,ram,watts,val
0,0,12.9301,0.0505082
10,25,15.1504,0.0591812
20,51,15.6794,0.0612477
30,76,15.5451,0.060723
40,102,15.9876,0.0624516
50,128,16.0053,0.0625207
60,153,15.8562,0.0619383
70,179,15.9982,0.062493
80,204,16.0101,0.0625395
90,230,15.8485,0.0619082
100,256,15.7088,0.0613625
