load,ram,watts,val
0,0,15.0456,0.235088
10,6,17.0582,0.266534
20,12,16.0389,0.250608
30,19,16.3607,0.255636
40,25,16.1915,0.252992
50,32,16.2411,0.253767
60,38,16.3312,0.255175
70,44,16.867,0.263547
80,51,16.0857,0.251339
90,57,15.8559,0.247748
100,64,15.7748,0.246481
