load,ram,watts,val
0,0,10.4643,0.163505
10,6,11.4287,0.178573
20,12,11.2804,0.176256
30,19,11.3714,0.177678
40,25,11.3674,0.177616
50,32,11.4073,0.178239
60,38,11.5351,0.180236
70,44,11.733,0.183328
80,51,11.6375,0.181836
90,57,11.2834,0.176303
100,64,11.3679,0.177623
