load,ram,watts,val
0,0,10.4729,0.163639
10,6,11.9276,0.186369
20,12,11.6156,0.181494
30,19,11.6988,0.182794
40,25,11.7139,0.18303
50,32,11.614,0.181469
60,38,12.2156,0.190869
70,44,11.3184,0.17685
80,51,11.2741,0.176158
90,57,11.0889,0.173264
100,64,11.2946,0.176478
