load,ram,watts,val
0,0,14.1762,0.221503
10,6,15.8427,0.247542
20,12,15.5553,0.243052
30,19,15.5325,0.242695
40,25,15.9637,0.249433
50,32,15.8803,0.24813
60,38,15.7216,0.24565
70,44,15.2916,0.238931
80,51,15.4646,0.241634
90,57,15.6574,0.244647
100,64,15.5595,0.243117
