load,ram,watts,val
0,0,1.41147,0.0110271
10,12,5.47779,0.0427952
20,25,5.40205,0.0422035
30,38,5.4002,0.0421891
40,51,5.57538,0.0435577
50,64,5.7555,0.0449648
60,76,5.66165,0.0442316
70,89,5.62536,0.0439481
80,102,5.63123,0.043994
90,115,5.61428,0.0438616
100,128,5.61976,0.0439044
