load,ram,watts,val
0,0,5.57743,0.0217868
10,25,13.1948,0.0515422
20,51,13.7689,0.0537848
30,76,13.5898,0.0530852
40,102,13.7958,0.0538898
50,128,13.9105,0.0543379
60,153,13.9305,0.054416
70,179,13.968,0.0545625
80,204,13.9231,0.0543871
90,230,13.7551,0.0537309
100,256,13.6377,0.0532723
