load,ram,watts,val
0,0,11.9281,0.186377
10,6,13.5739,0.212092
20,12,12.9349,0.202108
30,19,12.4879,0.195123
40,25,13.0713,0.204239
50,32,13.0498,0.203903
60,38,13.0449,0.203827
70,44,12.9929,0.203014
80,51,12.6575,0.197773
90,57,14.9113,0.232989
100,64,12.7275,0.198867
