test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,54.20,14.69,45.50
CPUStress,32,10,70.62,14.73,44.70
CPUStress,32,20,85.05,14.82,44.80
CPUStress,32,30,94.71,14.75,44.80
CPUStress,32,40,105.50,15.02,46.60
CPUStress,32,50,115.01,15.02,47.60
CPUStress,32,60,122.27,15.03,48.80
CPUStress,32,70,129.01,15.16,51.00
CPUStress,32,80,135.60,15.32,52.10
CPUStress,32,90,137.38,14.93,54.10
CPUStress,32,100,139.67,14.92,55.00
ipsec,32,100,151.51,14.48,56.30
VMStress,32,100,128.04,37.98,53.20
maximize,32,100,138.97,22.13,55.70
