test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,53.75,14.51,43.60
CPUStress,32,10,63.95,14.77,42.60
CPUStress,32,20,74.40,14.64,42.10
CPUStress,32,30,84.77,14.90,43.60
CPUStress,32,40,92.41,14.89,44.20
CPUStress,32,50,97.76,14.93,44.80
CPUStress,32,60,105.49,15.17,46.90
CPUStress,32,70,110.56,15.06,47.20
CPUStress,32,80,116.71,15.31,48.60
CPUStress,32,90,119.30,15.08,50.10
CPUStress,32,100,119.74,14.93,50.80
ipsec,32,100,130.85,14.68,52.40
VMStress,32,100,112.43,37.71,49.60
maximize,32,100,120.36,20.73,51.50
