test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,55.79,14.12,44.90
CPUStress,32,10,71.82,14.12,44.80
CPUStress,32,20,84.64,14.29,43.90
CPUStress,32,30,94.96,14.35,44.90
CPUStress,32,40,104.93,14.55,46.50
CPUStress,32,50,114.04,14.66,47.60
CPUStress,32,60,122.08,14.71,48.80
CPUStress,32,70,125.90,14.59,50.30
CPUStress,32,80,133.20,14.73,52.00
CPUStress,32,90,136.88,14.73,53.60
CPUStress,32,100,139.48,14.64,54.40
ipsec,32,100,152.17,14.20,56.50
VMStress,32,100,127.47,38.33,52.50
maximize,32,100,139.10,21.34,55.90
