test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,55.86,14.69,45.60
CPUStress,32,10,71.95,14.73,45.70
CPUStress,32,20,84.88,14.86,44.00
CPUStress,32,30,95.57,15.09,45.70
CPUStress,32,40,104.40,14.95,46.40
CPUStress,32,50,113.10,15.12,48.30
CPUStress,32,60,121.55,14.88,49.90
CPUStress,32,70,127.56,15.03,51.30
CPUStress,32,80,133.45,15.02,52.50
CPUStress,32,90,139.78,15.18,53.90
CPUStress,32,100,139.72,15.10,54.60
ipsec,32,100,152.29,14.54,56.00
VMStress,32,100,127.61,38.03,52.50
maximize,32,100,138.67,20.89,55.80
