test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,51.91,14.05,32.20
CPUStress,32,10,68.37,14.23,35.70
CPUStress,32,20,82.74,14.39,37.80
CPUStress,32,30,94.60,14.53,38.80
CPUStress,32,40,104.09,14.47,41.80
CPUStress,32,50,114.10,14.93,43.90
CPUStress,32,60,121.36,14.80,46.80
CPUStress,32,70,130.03,15.08,48.50
CPUStress,32,80,132.79,14.89,50.10
CPUStress,32,90,138.84,15.07,52.00
CPUStress,32,100,139.87,14.89,53.80
ipsec,32,100,152.23,14.15,55.00
VMStress,32,100,127.85,37.56,51.70
maximize,32,100,139.29,20.56,55.10
