test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,51.85,14.11,32.60
CPUStress,32,10,62.93,14.27,34.70
CPUStress,32,20,73.40,14.31,36.80
CPUStress,32,30,83.62,14.60,37.90
CPUStress,32,40,91.07,14.52,40.90
CPUStress,32,50,99.52,14.86,42.10
CPUStress,32,60,105.15,14.99,44.10
CPUStress,32,70,110.51,15.08,45.30
CPUStress,32,80,117.31,15.37,47.00
CPUStress,32,90,118.14,14.98,48.90
CPUStress,32,100,119.76,14.75,49.70
ipsec,32,100,130.32,14.50,51.00
VMStress,32,100,111.99,36.89,48.30
maximize,32,100,120.15,21.10,51.20
