test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,53.25,14.42,42.90
CPUStress,32,10,63.74,14.49,41.90
CPUStress,32,20,74.85,14.72,41.80
CPUStress,32,30,84.62,14.94,42.70
CPUStress,32,40,92.87,15.05,43.30
CPUStress,32,50,98.71,15.02,45.00
CPUStress,32,60,104.50,15.09,46.30
CPUStress,32,70,110.82,15.04,47.30
CPUStress,32,80,113.91,14.95,48.60
CPUStress,32,90,119.37,15.06,50.70
CPUStress,32,100,120.17,14.88,50.90
ipsec,32,100,131.00,14.36,52.50
VMStress,32,100,112.33,37.72,49.70
maximize,32,100,120.40,19.86,52.40
