task_id	status	name	energy_consumption	CO2e	CO2e_market	carbon_intensity	%cpu	memory	realtime	cpus	powerdraw_cpu	cpu_model	raw_energy_processor	raw_energy_memory
3	COMPLETED	NFCORE_RNASEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa)	44.79 mWh	7.34 mg	-	163.92 gCO₂e/kWh	12.9 %	6.44 GB	1min 2s 173ms	1	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	5.57 mWh	39.22 mWh
2	COMPLETED	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GTFFILTER (genes.filtered)	62.95 mWh	10.32 mg	-	163.92 gCO₂e/kWh	15.8 %	6.44 GB	1min 24s 1000ms	1	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	9.33 mWh	53.62 mWh
7	COMPLETED	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa)	869.45 mWh	142.52 mg	-	163.92 gCO₂e/kWh	45.9 %	90.19 GB	1min 35s 19ms	48	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	30.29 mWh	839.16 mWh
1	COMPLETED	NFCORE_RNASEQ:PREPARE_GENOME:STAR_GENOMEPARAMS_UPGRADE (input_index)	228.98 uWh	37.54 ug	-	163.92 gCO₂e/kWh	28.2 %	6.44 GB	277ms	1	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	54.25 uWh	174.74 uWh
4	COMPLETED	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (GM12878_REP1)	1.53 Wh	250.69 mg	-	163.92 gCO₂e/kWh	77.1 %	25.77 GB	8min 20s 0ms	16	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	267.71 mWh	1.26 Wh
5	COMPLETED	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (GM12878_REP2)	1.84 Wh	301.63 mg	-	163.92 gCO₂e/kWh	66.1 %	25.77 GB	10min 17s 0ms	16	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	283.22 mWh	1.56 Wh
11	COMPLETED	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_REP1)	2.17 Wh	355.86 mg	-	163.92 gCO₂e/kWh	198.9 %	25.77 GB	9min 15s 1000ms	16	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	767.97 mWh	1.4 Wh
10	COMPLETED	NFCORE_RNASEQ:PREPARE_GENOME:SALMON_INDEX (genome.transcripts.fa)	13.21 Wh	2.17 g	-	163.92 gCO₂e/kWh	923.3 %	45.1 GB	20min 20s 0ms	32	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	7.82 Wh	5.39 Wh
14	COMPLETED	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_REP2)	3.01 Wh	494 mg	-	163.92 gCO₂e/kWh	123.7 %	25.77 GB	14min 51s	16	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	765.39 mWh	2.25 Wh
12	COMPLETED	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_REP1)	3.38 Wh	553.65 mg	-	163.92 gCO₂e/kWh	105.6 %	17.18 GB	23min 18s 268ms	8	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	1.03 Wh	2.35 Wh
