task_id	status	name	energy_consumption	CO2e	CO2e_market	carbon_intensity	%cpu	memory	realtime	cpus	powerdraw_cpu	cpu_model	raw_energy_processor	raw_energy_memory
3	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv)	754.43 uWh	123.67 ug	-	163.92 gCO₂e/kWh	17.8 %	6.44 GB	1s 0ms	1	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	123.61 uWh	630.82 uWh
1	COMPLETED	NFCORE_CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf)	67.63 mWh	11.09 mg	-	163.92 gCO₂e/kWh	26.2 %	25.77 GB	24s 1000ms	16	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	4.55 mWh	63.08 mWh
2	COMPLETED	NFCORE_CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	30.53 mWh	5.01 mg	-	163.92 gCO₂e/kWh	28 %	6.44 GB	37s 0ms	1	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	7.19 mWh	23.34 mWh
10	COMPLETED	NFCORE_CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes)	0 Wh	0 g	-	163.92 gCO₂e/kWh	50.3 %	6.44 GB	0ms	1	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	0 Wh	0 Wh
4	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (EZH2_IP_NTKO_REP1_T1)	4.69 Wh	768.41 mg	-	163.92 gCO₂e/kWh	73.2 %	45.1 GB	15min 51s 1000ms	32	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	483.93 mWh	4.2 Wh
7	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (EZH2_IP_NTKO_REP2_T1)	4.9 Wh	802.95 mg	-	163.92 gCO₂e/kWh	81.7 %	45.1 GB	16min 23s 0ms	32	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	557.72 mWh	4.34 Wh
14	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (FOXA1_IP_E2_REP1_T1)	717 mWh	117.53 mg	-	163.92 gCO₂e/kWh	66.5 %	45.1 GB	2min 26s 1000ms	32	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	67.89 mWh	649.12 mWh
5	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP1_T1)	15.03 Wh	2.46 g	-	163.92 gCO₂e/kWh	454.3 %	90.19 GB	20min 53s 1000ms	48	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	3.96 Wh	11.07 Wh
15	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (FOXA1_IP_E2_REP2_T1)	399.81 mWh	65.54 mg	-	163.92 gCO₂e/kWh	74.9 %	45.1 GB	1min 21s	32	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	42.13 mWh	357.68 mWh
6	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (EZH2_IP_NTKO_REP2_T1)	15.64 Wh	2.56 g	-	163.92 gCO₂e/kWh	475.2 %	90.19 GB	21min 29s 0ms	48	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	4.25 Wh	11.38 Wh
17	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (FOXA1_IP_VEH_REP1_T1)	592.33 mWh	97.09 mg	-	163.92 gCO₂e/kWh	80.9 %	45.1 GB	1min 59s 0ms	32	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	66.85 mWh	525.48 mWh
20	COMPLETED	NFCORE_CHIPSEQ:CHIPSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (FOXA1_IP_VEH_REP2_T1)	306.86 mWh	50.3 mg	-	163.92 gCO₂e/kWh	100.6 %	45.1 GB	1min 0ms	32	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	41.92 mWh	264.95 mWh
