task_id	status	name	energy_consumption	CO2e	CO2e_market	carbon_intensity	%cpu	memory	realtime	cpus	powerdraw_cpu	cpu_model	raw_energy_processor	raw_energy_memory
1	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv)	1.94 mWh	317.73 ug	-	163.92 gCO₂e/kWh	2.2 %	6.44 GB	2s 1000ms	1	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	45.83 uWh	1.89 mWh
2	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GTF2BED (genes.gtf)	26.65 mWh	4.37 mg	-	163.92 gCO₂e/kWh	63 %	25.77 GB	9s	16	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	3.94 mWh	22.71 mWh
10	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:TSS_EXTRACT	104.12 uWh	17.07 ug	-	163.92 gCO₂e/kWh	92 %	6.44 GB	82ms	1	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	52.39 uWh	51.73 uWh
3	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	36.4 mWh	5.97 mg	-	163.92 gCO₂e/kWh	28.3 %	6.44 GB	43s 1000ms	1	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	8.65 mWh	27.76 mWh
5	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP1_T1)	211.11 mWh	34.6 mg	-	163.92 gCO₂e/kWh	143.6 %	45.1 GB	38s 1000ms	32	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	38.89 mWh	172.21 mWh
18	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GET_AUTOSOMES (genome.fa.fai)	0 Wh	0 g	-	163.92 gCO₂e/kWh	108.5 %	6.44 GB	0ms	2	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	0 Wh	0 Wh
17	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes)	0 Wh	0 g	-	163.92 gCO₂e/kWh	75 %	6.44 GB	0ms	1	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	0 Wh	0 Wh
7	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_FAST_REP2_T1)	405.46 mWh	66.46 mg	-	163.92 gCO₂e/kWh	122.4 %	45.1 GB	1min 17s 0ms	32	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	65.45 mWh	340.01 mWh
4	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP1_T1)	1.53 Wh	250.53 mg	-	163.92 gCO₂e/kWh	447.7 %	90.19 GB	2min 8s 0ms	48	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	397.96 mWh	1.13 Wh
6	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (GM12878_FAST_REP2_T1)	2.32 Wh	380.31 mg	-	163.92 gCO₂e/kWh	553.9 %	90.19 GB	3min 2s 1000ms	48	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	703.91 mWh	1.62 Wh
9	COMPLETED	NFCORE_ATACSEQ:ATACSEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (GM12878_OMNI_REP1_T1)	923.05 mWh	151.31 mg	-	163.92 gCO₂e/kWh	200.1 %	45.1 GB	2min 39s 0ms	32	2.5 W	Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz	220.94 mWh	702.11 mWh
